kmod-mppe - 6.6.118-r1
kmod-mt76-connac - 6.6.118.2025.11.06~eb567bc7-r1
kmod-mt76-core - 6.6.118.2025.11.06~eb567bc7-r1
kmod-mt7915e - 6.6.118.2025.11.06~eb567bc7-r1
kmod-mt7981-firmware - 6.6.118.2025.11.06~eb567bc7-r1
kmod-netem - 6.6.118-r1
kmod-netlink-diag - 6.6.118-r1
kmod-nf-conncount - 6.6.118-r1
kmod-nf-conntrack - 6.6.118-r1
kmod-nf-conntrack-netlink - 6.6.118-r1
kmod-nf-conntrack6 - 6.6.118-r1
kmod-nf-flow - 6.6.118-r1
kmod-nf-ipt - 6.6.118-r1
kmod-nf-ipt6 - 6.6.118-r1
kmod-nf-log - 6.6.118-r1
kmod-nf-log6 - 6.6.118-r1
kmod-nf-nat - 6.6.118-r1
kmod-nf-reject - 6.6.118-r1
kmod-nf-reject6 - 6.6.118-r1
kmod-nf-socket - 6.6.118-r1
kmod-nf-tproxy - 6.6.118-r1
kmod-nfnetlink - 6.6.118-r1
kmod-nfnetlink-queue - 6.6.118-r1
kmod-nft-compat - 6.6.118-r1
kmod-nft-core - 6.6.118-r1
kmod-nft-fib - 6.6.118-r1
kmod-nft-fullcone - 6.6.118.2023.05.17~07d93b62-r5
kmod-nft-nat - 6.6.118-r1
kmod-nft-offload - 6.6.118-r1
kmod-nft-queue - 6.6.118-r1
kmod-nft-socket - 6.6.118-r1
kmod-nft-tproxy - 6.6.118-r1
kmod-nls-base - 6.6.118-r1
kmod-nls-cp437 - 6.6.118-r1
kmod-nls-cp932 - 6.6.118-r1
kmod-nls-cp936 - 6.6.118-r1
kmod-nls-cp950 - 6.6.118-r1
kmod-nls-iso8859-1 - 6.6.118-r1
kmod-nls-utf8 - 6.6.118-r1
kmod-oaf - 6.6.118-r1
kmod-pcie_mhi - 6.6.118.1.3.8-r9
kmod-phy-aquantia - 6.6.118-r1
kmod-ppp - 6.6.118-r1
kmod-pppoe - 6.6.118-r1
kmod-pppox - 6.6.118-r1
kmod-sched - 6.6.118-r1
kmod-sched-core - 6.6.118-r1
kmod-scsi-core - 6.6.118-r1
kmod-slhc - 6.6.118-r1
kmod-tcp-bbr - 6.6.118-r1
kmod-thermal - 6.6.118-r1
kmod-tun - 6.6.118-r1
kmod-udptunnel4 - 6.6.118-r1
kmod-udptunnel6 - 6.6.118-r1
kmod-usb-acm - 6.6.118-r1
kmod-usb-core - 6.6.118-r1
kmod-usb-ehci - 6.6.118-r1
kmod-usb-net - 6.6.118-r1
kmod-usb-net-aqc111 - 6.6.118-r1
kmod-usb-net-cdc-ether - 6.6.118-r1
kmod-usb-net-cdc-mbim - 6.6.118-r1
kmod-usb-net-cdc-ncm - 6.6.118-r1
kmod-usb-net-huawei-cdc-ncm - 6.6.118-r1
kmod-usb-net-qmi-wwan - 6.6.118-r1
kmod-usb-net-rndis - 6.6.118-r1
kmod-usb-net-rtl8152 - 6.6.118-r1
kmod-usb-net-sierrawireless - 6.6.118-r1
kmod-usb-ohci - 6.6.118-r1
kmod-usb-printer - 6.6.118-r1
kmod-usb-serial - 6.6.118-r1
kmod-usb-serial-option - 6.6.118-r1
kmod-usb-serial-qualcomm - 6.6.118-r1
kmod-usb-serial-wwan - 6.6.118-r1
kmod-usb-storage - 6.6.118-r1
kmod-usb-storage-extras - 6.6.118-r1
kmod-usb-storage-uas - 6.6.118-r1
kmod-usb-wdm - 6.6.118-r1
kmod-usb-xhci-hcd - 6.6.118-r1
kmod-usb-xhci-mtk - 6.6.118-r1
kmod-usb2 - 6.6.118-r1
kmod-usb3 - 6.6.118-r1
kmod-wireguard - 6.6.118-r1
kmod-zram - 6.6.118-r1
leigod-acc - 1.3.0.30-r4
libacl - 2.3.2-r2
